Chromosome;chromStart;chromEnd;Name;Location;Stain
chr2;204100000;208200000;q33.3;prom;gneg
chr2;208200000;214500000;q34;utr3;gpos100
chr2;214500000;220700000;q35;prom;gneg
chr2;220700000;224300000;q36.1;splice;gpos75
chr2;224300000;225200000;q36.2;prom;gneg
chr2;225200000;230100000;q36.3;utr3;gpos100
chr2;230100000;234700000;q37.1;prom;gneg
chr2;234700000;236400000;q37.2;codon;gpos50
chr2;236400000;242193529;q37.3;prom;gneg
chr2;0;2200000;p24.3;prom;gneg
chr2;2200000;4600000;p24.2;intron;gpos25
chr2;4600000;9000000;p24.1;prom;gneg
chr2;9000000;14200000;p23;splice;gpos75
chr2;14200000;16600000;p22.3;prom;gneg
chr2;16600000;18500000;p22.2;intron;gpos25
chr2;18500000;19900000;p22.1;prom;gneg
chr2;19900000;25600000;p21.3;utr3;gpos100
chr2;25600000;28000000;p21.2;prom;gneg
chr2;28000000;33200000;p21.1;utr3;gpos100
chr2;33200000;36300000;p13.3;prom;gneg
chr2;36300000;37900000;p13.2;intron;gpos25
chr2;37900000;39000000;p13.1;prom;gneg
chr2;39000000;40000000;p12;codon;gpos50
chr2;40000000;42200000;p11.2;prom;gneg
chr2;42200000;43000000;p11.1;acen;acen
chr2;43000000;45500000;q11;acen;acen
chr2;45500000;61500000;q12;gvar;gvar
chr2;61500000;65000000;q13;prom;gneg
chr2;65000000;69300000;q21.11;intron;gpos25
chr2;69300000;71300000;q21.12;prom;gneg
chr2;71300000;76600000;q21.13;codon;gpos50
chr2;76600000;78500000;q21.2;prom;gneg
chr2;78500000;81500000;q21.31;codon;gpos50
chr2;81500000;84300000;q21.32;prom;gneg
chr2;84300000;87800000;q21.33;codon;gpos50
chr2;87800000;89200000;q22.1;prom;gneg
chr2;89200000;91200000;q22.2;intron;gpos25
chr2;91200000;93900000;q22.31;prom;gneg
chr2;93900000;96500000;q22.32;intron;gpos25
chr2;96500000;99800000;q22.33;prom;gneg
chr2;99800000;105400000;q31.1;utr3;gpos100
chr2;105400000;108500000;q31.2;prom;gneg
chr2;108500000;112100000;q31.3;intron;gpos25
chr2;112100000;114900000;q32;prom;gneg
chr2;114900000;119800000;q33.1;splice;gpos75
chr2;119800000;123100000;q33.2;prom;gneg
chr2;123100000;127500000;q33.3;intron;gpos25
chr2;127500000;130600000;q34.11;prom;gneg
chr2;130600000;131100000;q34.12;intron;gpos25
chr2;131100000;133100000;q34.13;prom;gneg
chr2;133100000;134500000;q34.2;intron;gpos25
chr2;134500000;138394717;q34.3;prom;gneg
chr2;0;7800000;p13.3;prom;gneg
chr2;7800000;10400000;p13.2;codon;gpos50
chr2;10400000;12500000;p13.13;prom;gneg
chr2;12500000;14700000;p13.12;codon;gpos50
chr2;14700000;16700000;p13.11;prom;gneg
chr2;16700000;21200000;p12.3;codon;gpos50
chr2;21200000;24200000;p12.2;prom;gneg
chr2;24200000;28500000;p12.1;codon;gpos50
chr2;28500000;35300000;p11.2;prom;gneg
chr2;35300000;36800000;p11.1;acen;acen
chr2;36800000;38400000;q11.1;acen;acen
chr2;38400000;47000000;q11.2;gvar;gvar
chr2;47000000;52600000;q12.1;prom;gneg
chr2;52600000;56000000;q12.2;codon;gpos50
chr2;56000000;57300000;q13;prom;gneg
chr2;57300000;66600000;q21;utr3;gpos100
chr2;66600000;70800000;q22.1;prom;gneg
chr2;70800000;72800000;q22.2;codon;gpos50
chr2;72800000;74100000;q22.3;prom;gneg
chr2;74100000;79200000;q23.1;splice;gpos75
chr2;79200000;81600000;q23.2;prom;gneg
chr2;81600000;84100000;q23.3;codon;gpos50
chr2;84100000;87000000;q24.1;prom;gneg
chr2;87000000;88700000;q24.2;intron;gpos25
chr2;88700000;90338345;q24.3;prom;gneg
chr3;0;2800000;p26.3;codon;gpos50
chr3;2800000;4000000;p26.2;prom;gneg
chr3;4000000;8100000;p26.1;codon;gpos50
chr3;8100000;11600000;p25.3;prom;gneg
chr3;11600000;13200000;p25.2;intron;gpos25
chr3;13200000;16300000;p25.1;prom;gneg
chr3;16300000;23800000;p24.3;utr3;gpos100
chr3;23800000;26300000;p24.2;prom;gneg
chr3;26300000;30800000;p24.1;splice;gpos75
chr3;30800000;32000000;p23;prom;gneg
chr3;32000000;36400000;p22.3;codon;gpos50
chr3;36400000;39300000;p22.2;prom;gneg
chr3;39300000;43600000;p22.1;splice;gpos75
chr3;43600000;44100000;p21.33;prom;gneg
chr3;44100000;44200000;p21.32;codon;gpos50
chr3;44200000;50600000;p21.31;prom;gneg
chr3;50600000;52300000;p21.2;intron;gpos25
chr3;52300000;54400000;p21.1;prom;gneg
chr3;54400000;58600000;p14.3;codon;gpos50
chr3;58600000;63800000;p14.2;prom;gneg
chr3;63800000;69700000;p14.1;codon;gpos50
chr3;69700000;74100000;p13;prom;gneg
chr3;74100000;79800000;p12.3;splice;gpos75
chr3;79800000;83500000;p12.2;prom;gneg
chr3;83500000;87100000;p12.1;splice;gpos75
chr3;87100000;87800000;p11.2;prom;gneg
chr3;87800000;90900000;p11.1;acen;acen
chr3;90900000;94000000;q11.1;acen;acen
chr3;94000000;98600000;q11.2;gvar;gvar
chr3;98600000;100300000;q12.1;prom;gneg
chr3;100300000;101200000;q12.2;intron;gpos25
chr3;101200000;103100000;q12.3;prom;gneg
chr3;103100000;106500000;q13.11;splice;gpos75
chr3;106500000;108200000;q13.12;prom;gneg
chr3;108200000;111600000;q13.13;codon;gpos50
chr3;111600000;113700000;q13.2;prom;gneg
chr3;113700000;117600000;q13.31;splice;gpos75
chr3;117600000;119300000;q13.32;prom;gneg
chr3;119300000;122200000;q13.33;splice;gpos75
chr3;122200000;124100000;q21.1;prom;gneg
chr3;124100000;126100000;q21.2;intron;gpos25
chr3;126100000;129500000;q21.3;prom;gneg
chr3;129500000;134000000;q22.1;intron;gpos25
chr3;134000000;136000000;q22.2;prom;gneg
chr3;136000000;139000000;q22.3;intron;gpos25
chr3;139000000;143100000;q23;prom;gneg
chr3;143100000;149200000;q24;utr3;gpos100
chr3;149200000;152300000;q25.1;prom;gneg
chr3;152300000;155300000;q25.2;codon;gpos50
chr3;155300000;157300000;q25.31;prom;gneg
chr3;157300000;159300000;q25.32;codon;gpos50
chr3;159300000;161000000;q25.33;prom;gneg
chr3;161000000;167900000;q26.1;utr3;gpos100
chr3;167900000;171200000;q26.2;prom;gneg
chr3;171200000;176000000;q26.31;splice;gpos75
chr3;176000000;179300000;q26.32;prom;gneg
chr3;179300000;183000000;q26.33;splice;gpos75
chr3;183000000;184800000;q27.1;prom;gneg
chr3;184800000;186300000;q27.2;intron;gpos25
chr3;186300000;188200000;q27.3;prom;gneg
chr3;188200000;192600000;q28;splice;gpos75
chr3;192600000;198295559;q29;prom;gneg
chr3;0;3000000;p15.3;prom;gneg
chr3;3000000;3800000;p15.2;intron;gpos25
chr3;3800000;6600000;p15.1;prom;gneg
chr3;6600000;12200000;p14;splice;gpos75
chr3;12200000;17300000;p13;prom;gneg
chr3;17300000;18300000;p12.33;splice;gpos75
chr3;18300000;18400000;p12.32;prom;gneg
chr3;18400000;22300000;p12.31;splice;gpos75
chr3;22300000;24300000;p12.2;prom;gneg
chr3;24300000;29300000;p12.1;codon;gpos50
chr3;29300000;31100000;p11.23;prom;gneg
chr3;31100000;34200000;p11.22;intron;gpos25
chr3;34200000;38000000;p11.21;prom;gneg
chr3;38000000;39800000;p11.1;acen;acen
chr3;39800000;41600000;q11.1;acen;acen
chr3;41600000;45500000;q11.21;prom;gneg
chr3;45500000;48600000;q11.22;intron;gpos25
chr3;48600000;51100000;q11.23;prom;gneg
chr3;51100000;59400000;q21.1;utr3;gpos100
chr3;59400000;62800000;q21.2;prom;gneg
chr3;62800000;68800000;q21.3;utr3;gpos100
chr3;68800000;73100000;q22.1;prom;gneg
chr3;73100000;75900000;q22.2;codon;gpos50
chr3;75900000;80300000;q22.3;prom;gneg
chr3;80300000;86100000;q23.1;utr3;gpos100
chr3;86100000;87700000;q23.2;prom;gneg
chr3;87700000;91100000;q23.31;splice;gpos75
chr3;91100000;92300000;q23.32;prom;gneg
chr3;92300000;95300000;q23.33;codon;gpos50
chr3;95300000;97500000;q24.1;prom;gneg
chr3;97500000;100100000;q24.2;codon;gpos50
chr3;100100000;101200000;q24.31;prom;gneg
chr3;101200000;103100000;q24.32;intron;gpos25
chr3;103100000;104000000;q24.33;prom;gneg
chr3;104000000;110100000;q25.1;utr3;gpos100
chr3;110100000;113100000;q25.2;prom;gneg
chr3;113100000;117300000;q25.3;splice;gpos75
chr3;117300000;119900000;q26.11;prom;gneg
chr3;119900000;121400000;q26.12;codon;gpos50
chr3;121400000;125700000;q26.13;prom;gneg
chr3;125700000;128800000;q26.2;codon;gpos50
chr3;128800000;133797422;q26.3;prom;gneg
chr3;0;3400000;p13.3;prom;gneg
chr3;3400000;6500000;p13.2;codon;gpos50
chr3;6500000;10800000;p13.1;prom;gneg
chr3;10800000;16100000;p12;splice;gpos75
chr3;16100000;22700000;p11.2;prom;gneg
chr3;22700000;25100000;p11.1;acen;acen
chr3;25100000;27400000;q11.1;acen;acen
chr3;27400000;33500000;q11.2;prom;gneg
chr3;33500000;39800000;q12;codon;gpos50
chr3;39800000;40200000;q21.1;prom;gneg
chr3;40200000;42800000;q21.2;intron;gpos25
chr3;42800000;46800000;q21.31;prom;gneg
chr3;46800000;49300000;q21.32;intron;gpos25
chr3;49300000;52100000;q21.33;prom;gneg
chr3;52100000;59500000;q22;splice;gpos75
chr3;59500000;60200000;q23.1;prom;gneg
chr3;60200000;63100000;q23.2;splice;gpos75
chr3;63100000;64600000;q23.3;prom;gneg
chr3;64600000;66200000;q24.1;codon;gpos50
chr3;66200000;69100000;q24.2;prom;gneg
chr3;69100000;72900000;q24.3;splice;gpos75
chr3;72900000;76800000;q25.1;prom;gneg
chr3;76800000;77200000;q25.2;intron;gpos25
chr3;77200000;83257441;q25.3;prom;gneg
chr4;0;4500000;p16.3;prom;gneg
chr4;4500000;6000000;p16.2;intron;gpos25
chr4;6000000;11300000;p16.1;prom;gneg
chr4;11300000;15000000;p15.33;codon;gpos50
chr4;15000000;17700000;p15.32;prom;gneg
chr4;17700000;21300000;p15.31;splice;gpos75
chr4;21300000;27700000;p15.2;prom;gneg
chr4;27700000;35800000;p15.1;utr3;gpos100
chr4;35800000;41200000;p14;prom;gneg
chr4;41200000;44600000;p13;codon;gpos50
chr4;44600000;48200000;p12;prom;gneg
chr4;48200000;50000000;p11;acen;acen
chr4;50000000;51800000;q11;acen;acen
chr4;51800000;58500000;q12;prom;gneg
chr4;58500000;65500000;q13.1;utr3;gpos100
chr4;65500000;69400000;q13.2;prom;gneg
chr4;69400000;75300000;q13.3;splice;gpos75
chr4;75300000;78000000;q21.1;prom;gneg
chr4;78000000;81500000;q21.21;codon;gpos50
chr4;81500000;83200000;q21.22;prom;gneg
chr4;83200000;86000000;q21.23;intron;gpos25
chr4;86000000;87100000;q21.3;prom;gneg
chr4;87100000;92800000;q22.1;splice;gpos75
chr4;92800000;94200000;q22.2;prom;gneg
chr4;94200000;97900000;q22.3;splice;gpos75
chr4;97900000;100100000;q23;prom;gneg
chr4;100100000;106700000;q24;codon;gpos50
chr4;106700000;113200000;q25;prom;gneg
chr4;113200000;119900000;q26;splice;gpos75
chr4;119900000;122800000;q27;prom;gneg
chr4;122800000;127900000;q28.1;codon;gpos50
chr4;127900000;130100000;q28.2;prom;gneg
chr4;130100000;138500000;q28.3;utr3;gpos100
chr4;138500000;140600000;q31.1;prom;gneg
chr4;140600000;145900000;q31.21;intron;gpos25
chr4;145900000;147500000;q31.22;prom;gneg
chr4;147500000;150200000;q31.23;intron;gpos25
chr4;150200000;154600000;q31.3;prom;gneg
chr4;154600000;160800000;q32.1;utr3;gpos100
chr4;160800000;163600000;q32.2;prom;gneg
chr4;163600000;169200000;q32.3;utr3;gpos100
chr4;169200000;171000000;q33;prom;gneg
chr4;171000000;175400000;q34.1;splice;gpos75
chr4;175400000;176600000;q34.2;prom;gneg
chr4;176600000;182300000;q34.3;utr3;gpos100
chr4;182300000;186200000;q35.1;prom;gneg
chr4;186200000;190214555;q35.2;intron;gpos25
chr4;0;2800000;p15.5;prom;gneg
chr4;2800000;11700000;p15.4;codon;gpos50
chr4;11700000;13800000;p15.3;prom;gneg
chr4;13800000;16900000;p15.2;codon;gpos50
chr4;16900000;22000000;p15.1;prom;gneg
chr4;22000000;26200000;p14.3;utr3;gpos100
chr4;26200000;27200000;p14.2;prom;gneg
chr4;27200000;31000000;p14.1;splice;gpos75
chr4;31000000;36400000;p13;prom;gneg
chr4;36400000;43400000;p12;utr3;gpos100
chr4;43400000;48800000;p11.2;prom;gneg
chr4;48800000;51000000;p11.12;splice;gpos75
chr4;51000000;53400000;p11.11;acen;acen
chr4;53400000;55800000;q11;acen;acen
chr4;55800000;60100000;q12.1;splice;gpos75
chr4;60100000;61900000;q12.2;prom;gneg
chr4;61900000;63600000;q12.3;intron;gpos25
chr4;63600000;66100000;q13.1;prom;gneg
chr4;66100000;68700000;q13.2;intron;gpos25
chr4;68700000;70500000;q13.3;prom;gneg
chr4;70500000;75500000;q13.4;codon;gpos50
chr4;75500000;77400000;q13.5;prom;gneg
chr4;77400000;85900000;q14.1;utr3;gpos100
chr4;85900000;88600000;q14.2;prom;gneg
chr4;88600000;93000000;q14.3;utr3;gpos100
chr4;93000000;97400000;q21;prom;gneg
chr4;97400000;102300000;q22.1;utr3;gpos100
chr4;102300000;103000000;q22.2;prom;gneg
chr4;103000000;110600000;q22.3;utr3;gpos100
chr4;110600000;112700000;q23.1;prom;gneg
chr4;112700000;114600000;q23.2;codon;gpos50
chr4;114600000;121300000;q23.3;prom;gneg
chr4;121300000;124000000;q24.1;codon;gpos50
chr4;124000000;127900000;q24.2;prom;gneg
chr4;127900000;130900000;q24.3;codon;gpos50
chr4;130900000;135086622;q25;prom;gneg
chr4;0;2900000;p11.32;prom;gneg
chr4;2900000;7200000;p11.31;codon;gpos50
chr4;7200000;8500000;p11.23;prom;gneg
chr4;8500000;10900000;p11.22;intron;gpos25
chr4;10900000;15400000;p11.21;prom;gneg
chr4;15400000;18500000;p11.1;acen;acen
chr4;18500000;21500000;q11.1;acen;acen
chr4;21500000;27500000;q11.2;prom;gneg
chr4;27500000;35100000;q12.1;utr3;gpos100
chr4;35100000;39500000;q12.2;prom;gneg
chr4;39500000;45900000;q12.3;splice;gpos75
chr4;45900000;50700000;q21.1;prom;gneg
chr4;50700000;56200000;q21.2;splice;gpos75
chr4;56200000;58600000;q21.31;prom;gneg
chr4;58600000;61300000;q21.32;codon;gpos50
chr4;61300000;63900000;q21.33;prom;gneg
chr4;63900000;69100000;q22.1;utr3;gpos100
chr4;69100000;71000000;q22.2;prom;gneg
chr4;71000000;75400000;q22.3;intron;gpos25
chr4;75400000;80373285;q23;prom;gneg
chr5;0;4400000;p15.33;prom;gneg
chr5;4400000;6300000;p15.32;intron;gpos25
chr5;6300000;9900000;p15.31;prom;gneg
chr5;9900000;15000000;p15.2;codon;gpos50
chr5;15000000;18400000;p15.1;prom;gneg
chr5;18400000;23300000;p14.3;utr3;gpos100
chr5;23300000;24600000;p14.2;prom;gneg
chr5;24600000;28900000;p14.1;utr3;gpos100
chr5;28900000;33800000;p13.3;prom;gneg
chr5;33800000;38400000;p13.2;intron;gpos25
chr5;38400000;42500000;p13.1;prom;gneg
chr5;42500000;46100000;p12;codon;gpos50
chr5;46100000;48800000;p11;acen;acen
chr5;48800000;51400000;q11.1;acen;acen
chr5;51400000;59600000;q11.2;prom;gneg
chr5;59600000;63600000;q12.1;splice;gpos75
chr5;63600000;63900000;q12.2;prom;gneg
chr5;63900000;67400000;q12.3;splice;gpos75
chr5;67400000;69100000;q13.1;prom;gneg
chr5;69100000;74000000;q13.2;codon;gpos50
chr5;74000000;77600000;q13.3;prom;gneg
chr5;77600000;82100000;q14.1;codon;gpos50
chr5;82100000;83500000;q14.2;prom;gneg
chr5;83500000;93000000;q14.3;utr3;gpos100
chr5;93000000;98900000;q15;prom;gneg
chr5;98900000;103400000;q21.1;utr3;gpos100
chr5;103400000;105100000;q21.2;prom;gneg
chr5;105100000;110200000;q21.3;utr3;gpos100
chr5;110200000;112200000;q22.1;prom;gneg
chr5;112200000;113800000;q22.2;codon;gpos50
chr5;113800000;115900000;q22.3;prom;gneg
chr5;115900000;122100000;q23.1;utr3;gpos100
chr5;122100000;127900000;q23.2;prom;gneg
chr5;127900000;131200000;q23.3;utr3;gpos100
chr5;131200000;136900000;q31.1;prom;gneg
chr5;136900000;140100000;q31.2;intron;gpos25
chr5;140100000;145100000;q31.3;prom;gneg
chr5;145100000;150400000;q32;splice;gpos75
chr5;150400000;153300000;q33.1;prom;gneg
chr5;153300000;156300000;q33.2;codon;gpos50
chr5;156300000;160500000;q33.3;prom;gneg
chr5;160500000;169000000;q34;utr3;gpos100
chr5;169000000;173300000;q35.1;prom;gneg
chr5;173300000;177100000;q35.2;intron;gpos25
chr5;177100000;181538259;q35.3;prom;gneg
chr5;0;3200000;p13.33;prom;gneg
chr5;3200000;5300000;p13.32;intron;gpos25
chr5;5300000;10000000;p13.31;prom;gneg
chr5;10000000;12600000;p13.2;splice;gpos75
chr5;12600000;14600000;p13.1;prom;gneg
chr5;14600000;19800000;p12.3;utr3;gpos100
chr5;19800000;21100000;p12.2;prom;gneg
chr5;21100000;26300000;p12.1;utr3;gpos100
chr5;26300000;27600000;p11.23;prom;gneg
chr5;27600000;30500000;p11.22;codon;gpos50
chr5;30500000;33200000;p11.21;prom;gneg
chr5;33200000;35500000;p11.1;acen;acen
chr5;35500000;37800000;q11;acen;acen
chr5;37800000;46000000;q12;utr3;gpos100
chr5;46000000;48700000;q13.11;prom;gneg
chr5;48700000;51100000;q13.12;intron;gpos25
chr5;51100000;54500000;q13.13;prom;gneg
chr5;54500000;56200000;q13.2;intron;gpos25
chr5;56200000;57700000;q13.3;prom;gneg
chr5;57700000;62700000;q14.1;splice;gpos75
chr5;62700000;64700000;q14.2;prom;gneg
chr5;64700000;67300000;q14.3;codon;gpos50
chr5;67300000;71100000;q15;prom;gneg
chr5;71100000;75300000;q21.1;splice;gpos75
chr5;75300000;79900000;q21.2;prom;gneg
chr5;79900000;86300000;q21.31;utr3;gpos100
chr5;86300000;88600000;q21.32;prom;gneg
